PolypID,Left,Right 
1,0.0,1
2,2.0,0
3,1.0,0
4,2.0,0
5,2.0,1
6,0.0,2
7,0.0,4
8,0.0,3
9,1.0,2
10,1.0,0
11,0.0,1
12,0.0,1
13,2.0,0
14,0.0,3
15,1.0,2
16,3.0,0
17,1.0,0
18,0.0,1
19,1.0,0
23,0.0,1
24,0.0,1
25,1.0,0
26,1.0,0
27,0.0,1
32,1.0,0
33,0.0,1
34,2.0,0
35,0.0,2
36,0.0,5
37,0.0,3
38,1.0,0
39,2.0,0
40,2.0,0
41,0.0,1
42,0.0,1
46,0.0,2
47,5.0,0
48,0.0,1
49,0.0,2
51,0.0,1
52,0.0,1
53,1.0,0
54,1.0,0
55,0.0,1
56,0.0,1
57,0.0,1
58,1.0,0
59,2.0,0
60,1.0,0
61,1.0,0
62,0.0,3
63,0.0,1
64,0.0,2
65,2.0,0
66,1.0,0
68,1.0,0
69,0.0,1
70,0.0,1
71,2.0,0
72,0.0,3
76,0.0,0
77,1.0,0
83,0.0,4
84,0.0,2
85,4.0,0
86,1.0,0
87,0.0,2
88,2.0,0
89,1.0,0
90,0.0,2
91,0.0,1
92,1.0,0
94,0.0,1
95,1.0,0
97,0.0,1
98,1.0,0
99,1.0,0
100,0.0,0
101,0.0,1
102,1.0,1
105,1.0,0
106,0.0,1
107,0.0,1
108,1.0,0
109,1.0,0
113,0.0,2
114,0.0,1
117,1.0,0
118,1.0,0
119,0.0,1
127,0.0,2
128,0.0,1
129,0.0,1
130,5.0,0
140,0.0,1
141,1.0,0
142,0.0,1
143,2.0,0
144,0.0,0
