,0_0_0,0_0_1,0_0_2,0_0_3,0_1_0,0_1_1,0_1_2,0_2_0,0_2_1,0_3_0,1_0_0,1_0_1,1_0_2,1_1_0,1_1_1,1_2_0,2_0_0,2_0_1,2_1_0,3_0_0,6_6_6,9_9_9
0_0_0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_0_1,0.05000000000000005,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_0_2,0.0025000000000000053,0.0950000000000001,0.9025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_0_3,0.00012500000000000044,0.007125000000000013,0.1353750000000001,0.8573749999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_1_0,0.15000000000000002,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_1_1,0.007500000000000008,0.14250000000000002,0.0,0.0,0.042500000000000045,0.8075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_1_2,0.0003750000000000008,0.014250000000000016,0.13537500000000002,0.0,0.0021250000000000045,0.08075000000000009,0.767125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_2_0,0.02250000000000001,0.0,0.0,0.0,0.25500000000000006,0.0,0.0,0.7224999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_2_1,0.0011250000000000016,0.02137500000000001,0.0,0.0,0.012750000000000017,0.24225000000000005,0.0,0.03612500000000003,0.6863749999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_3_0,0.003375000000000003,0.0,0.0,0.0,0.05737500000000001,0.0,0.0,0.32512500000000005,0.0,0.6141249999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_0_0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_0_1,0.012500000000000013,0.2375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03750000000000004,0.7124999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_0_2,0.0006250000000000013,0.023750000000000025,0.225625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018750000000000038,0.07125000000000008,0.676875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_1_0,0.037500000000000006,0.0,0.0,0.0,0.2125,0.0,0.0,0.0,0.0,0.0,0.11250000000000002,0.0,0.0,0.6375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
