,0_0_0,0_0_1,0_0_2,0_1_0,0_2_0,0_3_2,1_0_0,1_1_0,2_0_0,2_0_1,2_1_0,2_1_1,3_0_0,4_0_0,5_0_0,6_0_0,9_9_9
0_0_0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_0_1,0.05000000000000005,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_0_2,0.0025000000000000053,0.0950000000000001,0.9025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_1_0,0.15000000000000002,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_2_0,0.02250000000000001,0.0,0.0,0.25500000000000006,0.7224999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_3_2,8.437500000000026e-06,0.0003206250000000006,0.0030459375000000026,0.00014343750000000034,0.0008128125000000018,0.5542478124999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_0_0,0.25,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_1_0,0.037500000000000006,0.0,0.0,0.2125,0.0,0.0,0.11250000000000002,0.6375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_0_0,0.0625,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_0_1,0.003125000000000003,0.059375,0.0,0.0,0.0,0.0,0.01875000000000002,0.0,0.02812500000000003,0.5343749999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_1_0,0.009375000000000001,0.0,0.0,0.053125,0.0,0.0,0.05625000000000001,0.31875,0.084375,0.0,0.47812499999999997,0.0,0.0,0.0,0.0,0.0,0.0
2_1_1,0.0004687500000000005,0.008906250000000001,0.0,0.002656250000000003,0.0,0.0,0.0028125000000000034,0.015937500000000014,0.004218750000000005,0.08015625,0.02390625000000002,0.45421874999999995,0.0,0.0,0.0,0.0,0.0
3_0_0,0.015625000000000007,0.0,0.0,0.0,0.0,0.0,0.140625,0.0,0.421875,0.0,0.0,0.0,0.42187500000000006,0.0,0.0,0.0,0.0
4_0_0,0.003906250000000001,0.0,0.0,0.0,0.0,0.0,0.046875000000000035,0.0,0.21093750000000006,0.0,0.0,0.0,0.4218750000000001,0.31640625000000006,0.0,0.0,0.0
5_0_0,0.0009765625,0.0,0.0,0.0,0.0,0.0,0.014648437499999993,0.0,0.087890625,0.0,0.0,0.0,0.26367187499999994,0.39550781249999994,0.23730468750000006,0.0,0.0
6_0_0,0.00024414062500000016,0.0,0.0,0.0,0.0,0.0,0.004394531250000003,0.0,0.032958984375,0.0,0.0,0.0,0.13183593750000008,0.29663085937500006,0.3559570312500002,0.17797851562500003,0.0
9_9_9,2.8642534743994783e-25,4.897873441223092e-23,3.722383815329557e-21,1.4607692719437318e-23,3.311077016405792e-22,5.689622301911052e-17,7.733484380878577e-24,3.9440770342480694e-22,9.280181257054306e-23,1.5869109949562812e-20,4.73289244109769e-21,8.093246074277024e-19,6.496126879938016e-22,2.923257095972105e-21,8.769771287916317e-21,1.753954257583264e-20,0.010960595477670408
